S.No;GroupName;Members;Group Type;Group Scope;Domain Name;OU Name;Distinguished Name
439;recebimento_almox;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=recebimento_almox,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
441;Recepçao RQSF II;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Recepçao RQSF II,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
442;Recepçao Valetur;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Recepçao Valetur,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
443;Regional Hot Park;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Regional Hot Park,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
447;Reservas Ceia;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Reservas Ceia,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
448;Restaurante Baêa  - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Restaurante Baêa  - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
449;Restaurante Benditos Frutos - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Restaurante Benditos Frutos - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
450;Restaurante La Villa - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Restaurante La Villa - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
451;RQVC Lead Generation;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=RQVC Lead Generation,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
452;RQVC-BSB;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=RQVC-BSB,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
457;Sao Paulo - Sala Natureza;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Sao Paulo - Sala Natureza,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
471;Scorpius;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Scorpius,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
474;Segurança do Trabalho - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Segurança do Trabalho - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
475;SendAsPermission;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=SendAsPermission,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
478;Servico Ao Cliente RQVCTrial;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Servico Ao Cliente RQVCTrial,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
481;Shopping - Inventario;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Shopping - Inventario,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
484;Supervisores Governança - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Supervisores Governança - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
485;Suporte Tecnico RQVCTrial;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Suporte Tecnico RQVCTrial,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
487;Tesouraria - São Paulo;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Tesouraria - São Paulo,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
488;Time Share Adm - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Time Share Adm - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
489;Trabalhe Conosco - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Trabalhe Conosco - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
490;Transworld Turismo;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Transworld Turismo,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
495;Up Grade;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Up Grade,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
496;Valetur ABC;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Valetur ABC,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
