S.No;Group Name;Members;Group Type;Group Scope;Domain Name;OU Name;Distinguished Name
71;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Ala_Agua_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Ala_Agua_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
72;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Ala_Sol_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Ala_Sol_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
73;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Ala_Terra_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Ala_Terra_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
74;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Areas_Comuns_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Areas_Comuns_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
75;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Auditoria_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Auditoria_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
76;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Dir_Operacao_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Dir_Operacao_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
77;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Eventos_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Eventos_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
78;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Financeiro_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Financeiro_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
79;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Juridico_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Juridico_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
80;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Manutencao_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Manutencao_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
